10
128
1	88
2	6
3	91
4	73
5	4
6	22
7	6
8	52
9	31
10	57
11	52
12	39
13	47
14	86
15	66
16	52
17	83
18	15
19	15
20	21
21	76
22	8
23	38
24	2
25	3
26	66
27	47
28	92
29	27
30	27
31	3
32	70
33	98
34	87
35	26
36	87
37	34
38	73
39	42
40	38
41	69
42	10
43	57
44	34
45	31
46	40
47	23
48	55
49	53
50	89
51	62
52	15
53	71
54	5
55	34
56	81
57	82
58	75
59	56
60	9
61	4
62	67
63	50
64	86
65	67
66	74
67	48
68	40
69	31
70	82
71	68
72	88
73	85
74	8
75	72
76	93
77	18
78	54
79	23
80	80
81	96
82	51
83	49
84	87
85	55
86	24
87	51
88	47
89	92
90	80
91	72
92	78
93	44
94	95
95	51
96	66
97	46
98	62
99	2
100	67
101	68
102	4
103	41
104	50
105	61
106	68
107	4
108	92
109	66
110	24
111	96
112	84
113	92
114	34
115	37
116	27
117	60
118	4
119	15
120	2
121	48
122	11
123	87
124	17
125	9
126	73
127	67
